symbol,role,status,row_count,first_date,latest_date,meets_min_weeks,failure_reason
AAPL,research,success_reused,598,2015-01-02,2026-06-12,True,
MSFT,research,success_reused,598,2015-01-02,2026-06-12,True,
NVDA,research,success_reused,598,2015-01-02,2026-06-12,True,
GOOGL,research,success_reused,598,2015-01-02,2026-06-12,True,
AMZN,research,success_reused,598,2015-01-02,2026-06-12,True,
META,research,success_reused,599,2015-01-02,2026-06-15,True,
CRM,research,success_fetched,599,2015-01-02,2026-06-18,True,
ORCL,research,success_fetched,599,2015-01-02,2026-06-18,True,
ADBE,research,success_fetched,599,2015-01-02,2026-06-18,True,
NOW,research,success_fetched,599,2015-01-02,2026-06-18,True,
ASML,research,success_reused,599,2015-01-02,2026-06-15,True,
AMD,research,success_reused,598,2015-01-02,2026-06-12,True,
AVGO,research,success_reused,598,2015-01-02,2026-06-12,True,
TSM,research,success_reused,599,2015-01-02,2026-06-15,True,
QCOM,research,success_reused,598,2015-01-02,2026-06-12,True,
MU,research,success_reused,598,2015-01-02,2026-06-12,True,
INTC,research,success_reused,598,2015-01-02,2026-06-12,True,
TXN,research,success_fetched,599,2015-01-02,2026-06-18,True,
AMAT,research,success_fetched,599,2015-01-02,2026-06-18,True,
LRCX,research,success_fetched,599,2015-01-02,2026-06-18,True,
COST,research,success_reused,598,2015-01-02,2026-06-12,True,
WMT,research,success_reused,598,2015-01-02,2026-06-12,True,
MCD,research,success_reused,598,2015-01-02,2026-06-12,True,
NKE,research,success_reused,598,2015-01-02,2026-06-12,True,
SBUX,research,success_reused,598,2015-01-02,2026-06-12,True,
HD,research,success_reused,598,2015-01-02,2026-06-12,True,
TGT,research,success_fetched,599,2015-01-02,2026-06-18,True,
LOW,research,success_fetched,599,2015-01-02,2026-06-18,True,
BKNG,research,success_fetched,599,2015-01-02,2026-06-18,True,
CMG,research,success_fetched,599,2015-01-02,2026-06-18,True,
KO,research,success_reused,598,2015-01-02,2026-06-12,True,
PEP,research,success_reused,598,2015-01-02,2026-06-12,True,
PG,research,success_reused,598,2015-01-02,2026-06-12,True,
JNJ,research,success_reused,598,2015-01-02,2026-06-12,True,
UNH,research,success_reused,598,2015-01-02,2026-06-12,True,
MRK,research,success_reused,598,2015-01-02,2026-06-12,True,
ABBV,research,success_fetched,599,2015-01-02,2026-06-18,True,
PFE,research,success_fetched,599,2015-01-02,2026-06-18,True,
TMO,research,success_fetched,599,2015-01-02,2026-06-18,True,
ABT,research,success_fetched,599,2015-01-02,2026-06-18,True,
JPM,research,success_reused,598,2015-01-02,2026-06-12,True,
BAC,research,success_reused,598,2015-01-02,2026-06-12,True,
V,research,success_reused,598,2015-01-02,2026-06-12,True,
MA,research,success_reused,598,2015-01-02,2026-06-12,True,
AXP,research,success_reused,598,2015-01-02,2026-06-12,True,
GS,research,success_fetched,599,2015-01-02,2026-06-18,True,
MS,research,success_fetched,599,2015-01-02,2026-06-18,True,
BLK,research,success_fetched,599,2015-01-02,2026-06-18,True,
SCHW,research,success_fetched,599,2015-01-02,2026-06-18,True,
PYPL,research,success_fetched,572,2015-07-10,2026-06-18,True,
CAT,research,success_reused,598,2015-01-02,2026-06-12,True,
DE,research,success_reused,598,2015-01-02,2026-06-12,True,
GE,research,success_reused,598,2015-01-02,2026-06-12,True,
HON,research,success_reused,598,2015-01-02,2026-06-12,True,
RTX,research,success_fetched,599,2015-01-02,2026-06-18,True,
UPS,research,success_fetched,599,2015-01-02,2026-06-18,True,
LMT,research,success_fetched,599,2015-01-02,2026-06-18,True,
ETN,research,success_fetched,599,2015-01-02,2026-06-18,True,
MMM,research,success_fetched,599,2015-01-02,2026-06-18,True,
BA,research,success_fetched,599,2015-01-02,2026-06-18,True,
BYDDY,research,success_reused,598,2015-01-02,2026-06-12,True,
TM,research,success_reused,598,2015-01-02,2026-06-12,True,
TCEHY,research,success_reused,598,2015-01-02,2026-06-12,True,
BABA,research,success_reused,599,2015-01-02,2026-06-15,True,
SAP,research,success_fetched,599,2015-01-02,2026-06-18,True,
NVO,research,success_fetched,599,2015-01-02,2026-06-18,True,
SONY,research,success_fetched,599,2015-01-02,2026-06-18,True,
MELI,research,success_fetched,599,2015-01-02,2026-06-18,True,
XOM,research,success_fetched,599,2015-01-02,2026-06-18,True,
CVX,research,success_fetched,599,2015-01-02,2026-06-18,True,
COP,research,success_fetched,599,2015-01-02,2026-06-18,True,
LIN,research,success_fetched,599,2015-01-02,2026-06-18,True,
APD,research,success_fetched,599,2015-01-02,2026-06-18,True,
ECL,research,success_fetched,599,2015-01-02,2026-06-18,True,
NEM,research,success_fetched,599,2015-01-02,2026-06-18,True,
FCX,research,success_fetched,599,2015-01-02,2026-06-18,True,
NEE,research,success_fetched,599,2015-01-02,2026-06-18,True,
DUK,research,success_fetched,599,2015-01-02,2026-06-18,True,
SO,research,success_fetched,599,2015-01-02,2026-06-18,True,
AMT,research,success_fetched,599,2015-01-02,2026-06-18,True,
QQQ,reference,success_reused,599,2015-01-02,2026-06-15,True,
SPY,reference,success_reused,598,2015-01-02,2026-06-12,True,
DIA,reference,success_reused,599,2015-01-02,2026-06-15,True,
IWM,reference,success_reused,599,2015-01-02,2026-06-15,True,
