date,symbol,price,base_dca,extra_dip_buy,crash_fund,final_amount,state,reason_codes
2021-06-04,BYDDY,8.336667,20.77,0.0,0.0,20.77,normal,
2021-06-04,MSFT,250.789993,15.23,0.0,0.0,15.23,normal,
2021-06-04,NVDA,17.578251,12.46,0.0,0.0,12.46,normal,
2021-06-04,AAPL,125.889999,10.38,0.0,0.0,10.38,normal,
2021-06-04,ASML,683.299988,6.92,0.0,0.0,6.92,normal,
2021-06-04,KO,56.240002,3.46,0.0,0.0,3.46,normal,
2021-06-11,BYDDY,9.225,20.77,0.0,0.0,20.77,normal,
2021-06-11,MSFT,257.890015,15.23,0.0,0.0,15.23,normal,
2021-06-11,NVDA,17.825251,12.46,0.0,0.0,12.46,normal,
2021-06-11,AAPL,127.349998,10.38,0.0,0.0,10.38,normal,
2021-06-11,ASML,697.030029,6.92,0.0,0.0,6.92,normal,
2021-06-11,KO,56.16,3.46,0.0,0.0,3.46,normal,
2021-06-18,BYDDY,9.925,20.77,0.0,0.0,20.77,normal,
2021-06-18,MSFT,259.429993,15.23,0.0,0.0,15.23,normal,
2021-06-18,NVDA,18.63875,12.46,0.0,0.0,12.46,normal,
2021-06-18,AAPL,130.460007,10.38,0.0,0.0,10.38,normal,
2021-06-18,ASML,671.070007,6.92,0.07,0.0,6.99,small_drawdown,EXTRA_DIP_BUY
2021-06-18,KO,53.77,3.46,0.0,0.0,3.46,normal,
2021-06-25,BYDDY,9.778333,20.77,0.0,0.0,20.77,normal,
2021-06-25,MSFT,265.019989,15.23,0.0,0.0,15.23,normal,
2021-06-25,NVDA,19.031,12.46,0.0,0.0,12.46,normal,
2021-06-25,AAPL,133.110001,10.38,0.0,0.0,10.38,normal,
2021-06-25,ASML,686.210022,6.92,0.0,0.0,6.92,normal,
2021-06-25,KO,54.32,3.46,0.0,0.0,3.46,normal,
2021-07-02,BYDDY,9.498333,20.77,1.09,0.0,21.86,small_drawdown,EXTRA_DIP_BUY
2021-07-02,MSFT,277.649994,15.23,0.0,0.0,15.23,normal,
2021-07-02,NVDA,20.487,12.46,0.0,0.0,12.46,normal,
2021-07-02,AAPL,139.960007,10.38,0.0,0.0,10.38,normal,
2021-07-02,ASML,687.539978,6.92,0.0,0.0,6.92,normal,
2021-07-02,KO,54.18,3.46,0.0,0.0,3.46,normal,
2021-07-09,BYDDY,9.391667,20.77,1.64,0.0,22.41,small_drawdown,EXTRA_DIP_BUY
2021-07-09,MSFT,277.940002,15.23,0.0,0.0,15.23,normal,
2021-07-09,NVDA,20.050249,12.46,0.0,0.0,12.46,normal,
2021-07-09,AAPL,145.110001,10.38,0.0,0.0,10.38,normal,
