strategy,symbol,signal_date,execution_date,state,base_amount,extra_amount,crash_fund_amount,final_amount,reason_codes,planned_normal,planned_crash,total_planned,unallocated_cash
dca_l2_v2,BYDDY,2021-06-07,2021-06-08,normal,22.5,0.0,0.0,22.5,[],,,,
dca_l2_v2,MSFT,2021-06-07,2021-06-08,normal,16.5,0.0,0.0,16.5,[],,,,
dca_l2_v2,NVDA,2021-06-07,2021-06-08,normal,13.5,0.0,0.0,13.5,[],,,,
dca_l2_v2,AAPL,2021-06-07,2021-06-08,normal,11.25,0.0,0.0,11.25,[],,,,
dca_l2_v2,ASML,2021-06-07,2021-06-08,normal,7.5,0.0,0.0,7.5,[],,,,
dca_l2_v2,KO,2021-06-07,2021-06-08,normal,3.75,0.0,0.0,3.75,[],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-06-07,2021-06-08,,,,,,,75.0,0.0,75.0,325.0
dca_l2_v2,BYDDY,2021-06-14,2021-06-15,normal,22.5,0.0,0.0,22.5,[],,,,
dca_l2_v2,MSFT,2021-06-14,2021-06-15,normal,16.5,0.0,0.0,16.5,[],,,,
dca_l2_v2,NVDA,2021-06-14,2021-06-15,normal,13.5,0.0,0.0,13.5,[],,,,
dca_l2_v2,AAPL,2021-06-14,2021-06-15,normal,11.25,0.0,0.0,11.25,[],,,,
dca_l2_v2,ASML,2021-06-14,2021-06-15,normal,7.5,0.0,0.0,7.5,[],,,,
dca_l2_v2,KO,2021-06-14,2021-06-15,normal,3.75,0.0,0.0,3.75,[],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-06-14,2021-06-15,,,,,,,75.0,0.0,75.0,250.0
dca_l2_v2,BYDDY,2021-06-21,2021-06-22,normal,22.5,0.0,0.0,22.5,['PORTFOLIO_CASH_CAP_APPLIED'],,,,
dca_l2_v2,MSFT,2021-06-21,2021-06-22,normal,16.5,0.0,0.0,16.5,['PORTFOLIO_CASH_CAP_APPLIED'],,,,
dca_l2_v2,NVDA,2021-06-21,2021-06-22,normal,13.5,0.0,0.0,13.5,['PORTFOLIO_CASH_CAP_APPLIED'],,,,
dca_l2_v2,AAPL,2021-06-21,2021-06-22,normal,11.25,0.0,0.0,11.25,['PORTFOLIO_CASH_CAP_APPLIED'],,,,
dca_l2_v2,ASML,2021-06-21,2021-06-22,normal,7.5,0.0,0.0,7.5,['PORTFOLIO_CASH_CAP_APPLIED'],,,,
dca_l2_v2,KO,2021-06-21,2021-06-22,normal,3.75,0.0,0.0,3.75,['PORTFOLIO_CASH_CAP_APPLIED'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-06-21,2021-06-22,,,,,,,74.96,0.0,74.96,175.04
dca_l2_v2,BYDDY,2021-06-28,2021-06-29,normal,22.5,0.0,0.0,22.5,['PORTFOLIO_CASH_CAP_APPLIED'],,,,
dca_l2_v2,MSFT,2021-06-28,2021-06-29,normal,16.5,0.0,0.0,16.5,['PORTFOLIO_CASH_CAP_APPLIED'],,,,
dca_l2_v2,NVDA,2021-06-28,2021-06-29,normal,13.5,0.0,0.0,13.5,['PORTFOLIO_CASH_CAP_APPLIED'],,,,
dca_l2_v2,AAPL,2021-06-28,2021-06-29,normal,11.25,0.0,0.0,11.25,['PORTFOLIO_CASH_CAP_APPLIED'],,,,
dca_l2_v2,ASML,2021-06-28,2021-06-29,normal,7.5,0.0,0.0,7.5,['PORTFOLIO_CASH_CAP_APPLIED'],,,,
dca_l2_v2,KO,2021-06-28,2021-06-29,normal,3.75,0.0,0.0,3.75,['PORTFOLIO_CASH_CAP_APPLIED'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-06-28,2021-06-29,,,,,,,52.44,0.0,52.44,122.6
dca_l2_v2,BYDDY,2021-07-02,2021-07-06,small_drawdown,22.5,1.19,0.0,23.69,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,MSFT,2021-07-02,2021-07-06,normal,16.5,0.0,0.0,16.5,[],,,,
dca_l2_v2,NVDA,2021-07-02,2021-07-06,normal,13.5,0.0,0.0,13.5,[],,,,
dca_l2_v2,AAPL,2021-07-02,2021-07-06,normal,11.25,0.0,0.0,11.25,[],,,,
dca_l2_v2,ASML,2021-07-02,2021-07-06,normal,7.5,0.0,0.0,7.5,[],,,,
dca_l2_v2,KO,2021-07-02,2021-07-06,normal,3.75,0.0,0.0,3.75,[],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-07-02,2021-07-06,,,,,,,76.19,0.0,76.19,323.81
dca_l2_v2,BYDDY,2021-07-12,2021-07-13,normal,22.5,0.0,0.0,22.5,[],,,,
dca_l2_v2,MSFT,2021-07-12,2021-07-13,normal,16.5,0.0,0.0,16.5,[],,,,
