ticker,window,window_description,start_date,end_date,strategy,final_value,total_return_pct,cagr_pct,max_drawdown_pct,volatility_pct,sharpe_ratio,calmar_ratio,number_of_buy_actions,average_buy_amount,cash_remaining,cash_usage_pct,worst_period,worst_period_return_pct,total_invested,parameter_set,sensitivity,min_multiplier,max_multiplier,target_weekly_vol,extreme_drawdown_cap,consecutive_decline_cap,combined_stress_cap
NVDA,full_available,All local history available for this ticker.,2021-06-14,2026-06-05,risk_adjusted_candidate,73981.31,639.81,48.99,36.12,36.0,1.292,1.356,204,48.97,0.0,100.0,2024-07-08 to 2024-08-05,-18.95,10000.0,s3_min0.3_max1.6_tv0.04_dd1_cd1_cs1.1,3.0,0.3,1.6,0.04,1.0,1.0,1.1
NVDA,major_drawdown_window,Detected window around the ticker's largest price drawdown.,2021-06-14,2023-04-10,risk_adjusted_candidate,11677.31,16.77,8.76,27.46,17.05,0.582,0.319,96,58.54,4374.88,56.25,2022-03-28 to 2022-04-25,-10.97,5625.12,s3_min0.3_max1.6_tv0.04_dd1_cd1_cs1.1,3.0,0.3,1.6,0.04,1.0,1.0,1.1
NVDA,high_volatility_window,Detected 104-week window around the highest 52-week realized volatility.,2022-02-28,2024-02-12,risk_adjusted_candidate,21203.14,112.03,46.15,10.98,19.13,2.103,4.201,103,62.11,3596.1,64.04,2023-08-28 to 2023-09-25,-6.7,6403.9,s3_min0.3_max1.6_tv0.04_dd1_cd1_cs1.1,3.0,0.3,1.6,0.04,1.0,1.0,1.1
MSFT,full_available,All local history available for this ticker.,2021-06-14,2026-06-05,risk_adjusted_candidate,14769.2,47.69,8.08,31.93,21.43,0.469,0.253,153,65.29,0.0,100.0,2026-01-05 to 2026-02-02,-16.3,10000.0,s3_min0.3_max1.6_tv0.04_dd1_cd1_cs1.1,3.0,0.3,1.6,0.04,1.0,1.0,1.1
MSFT,major_drawdown_window,Detected window around the ticker's largest price drawdown.,2021-06-14,2023-05-01,risk_adjusted_candidate,11049.28,10.49,5.38,19.22,17.5,0.388,0.28,99,94.2,665.17,93.35,2022-08-15 to 2022-09-12,-9.51,9334.83,s3_min0.3_max1.6_tv0.04_dd1_cd1_cs1.1,3.0,0.3,1.6,0.04,1.0,1.0,1.1
MSFT,high_volatility_window,Detected 104-week window around the highest 52-week realized volatility.,2022-05-02,2024-04-15,risk_adjusted_candidate,13039.48,30.39,14.34,6.57,11.4,1.244,2.182,103,92.1,504.51,94.95,2024-03-18 to 2024-04-15,-6.57,9495.49,s3_min0.3_max1.6_tv0.04_dd1_cd1_cs1.1,3.0,0.3,1.6,0.04,1.0,1.0,1.1
AAPL,full_available,All local history available for this ticker.,2021-06-14,2026-06-05,risk_adjusted_candidate,20048.24,100.48,14.86,26.3,22.88,0.723,0.565,152,65.72,0.0,100.0,2025-03-03 to 2025-03-31,-21.2,10000.0,s3_min0.3_max1.6_tv0.04_dd1_cd1_cs1.1,3.0,0.3,1.6,0.04,1.0,1.0,1.1
AAPL,major_drawdown_window,Detected window around the ticker's largest price drawdown.,2021-06-14,2023-07-03,risk_adjusted_candidate,12438.11,24.38,11.08,18.04,16.27,0.733,0.614,108,92.36,15.01,99.85,2022-11-28 to 2022-12-26,-9.42,9984.99,s3_min0.3_max1.6_tv0.04_dd1_cd1_cs1.1,3.0,0.3,1.6,0.04,1.0,1.0,1.1
AAPL,high_volatility_window,Detected 104-week window around the highest 52-week realized volatility.,2021-11-15,2023-10-30,risk_adjusted_candidate,10927.23,9.27,4.58,12.16,13.04,0.412,0.377,103,90.96,621.63,93.78,2023-08-28 to 2023-09-25,-8.4,9378.37,s3_min0.3_max1.6_tv0.04_dd1_cd1_cs1.1,3.0,0.3,1.6,0.04,1.0,1.0,1.1
ASML,full_available,All local history available for this ticker.,2021-06-14,2026-06-05,risk_adjusted_candidate,24320.07,143.2,19.37,44.2,30.62,0.735,0.438,188,53.14,0.0,100.0,2024-07-01 to 2024-07-29,-24.68,10000.0,s3_min0.3_max1.6_tv0.04_dd1_cd1_cs1.1,3.0,0.3,1.6,0.04,1.0,1.0,1.1
