parameter_set,balanced_score,avg_total_return_pct,avg_max_drawdown_pct,avg_volatility_pct,avg_calmar_ratio,avg_cash_usage_pct,ticker_return_stddev_pct,sensitivity,min_multiplier,max_multiplier,target_weekly_vol,extreme_drawdown_cap,consecutive_decline_cap,combined_stress_cap
s3_min0.5_max2_tv0.1_dd1.3_cd1.4_cs1.1,0.357821,75.02,23.44,20.21,0.639,93.24,106.73,3.0,0.5,2.0,0.1,1.3,1.4,1.1
s3_min0.5_max2_tv0.1_dd1.3_cd1.4_cs1.3,0.357821,75.02,23.44,20.21,0.639,93.24,106.73,3.0,0.5,2.0,0.1,1.3,1.4,1.3
s3_min0.5_max2_tv0.1_dd1.3_cd1.4_cs1.5,0.357821,75.02,23.44,20.21,0.639,93.24,106.73,3.0,0.5,2.0,0.1,1.3,1.4,1.5
s3_min0.5_max2.4_tv0.1_dd1.3_cd1.4_cs1.1,0.357821,75.02,23.44,20.21,0.639,93.24,106.73,3.0,0.5,2.4,0.1,1.3,1.4,1.1
s3_min0.5_max2.4_tv0.1_dd1.3_cd1.4_cs1.3,0.357821,75.02,23.44,20.21,0.639,93.24,106.73,3.0,0.5,2.4,0.1,1.3,1.4,1.3
s3_min0.5_max2.4_tv0.1_dd1.3_cd1.4_cs1.5,0.357821,75.02,23.44,20.21,0.639,93.24,106.73,3.0,0.5,2.4,0.1,1.3,1.4,1.5
s3_min0.5_max1.6_tv0.1_dd1.3_cd1.4_cs1.1,0.357805,75.02,23.44,20.21,0.639,93.24,106.73,3.0,0.5,1.6,0.1,1.3,1.4,1.1
s3_min0.5_max1.6_tv0.1_dd1.3_cd1.4_cs1.3,0.357805,75.02,23.44,20.21,0.639,93.24,106.73,3.0,0.5,1.6,0.1,1.3,1.4,1.3
s3_min0.5_max1.6_tv0.1_dd1.3_cd1.4_cs1.5,0.357805,75.02,23.44,20.21,0.639,93.24,106.73,3.0,0.5,1.6,0.1,1.3,1.4,1.5
s3_min0.5_max2_tv0.1_dd1.3_cd1.2_cs1.1,0.357804,75.01,23.44,20.21,0.639,93.24,106.73,3.0,0.5,2.0,0.1,1.3,1.2,1.1
s3_min0.5_max2_tv0.1_dd1.3_cd1.2_cs1.3,0.357804,75.01,23.44,20.21,0.639,93.24,106.73,3.0,0.5,2.0,0.1,1.3,1.2,1.3
s3_min0.5_max2_tv0.1_dd1.3_cd1.2_cs1.5,0.357804,75.01,23.44,20.21,0.639,93.24,106.73,3.0,0.5,2.0,0.1,1.3,1.2,1.5
s3_min0.5_max2.4_tv0.1_dd1.3_cd1.2_cs1.1,0.357804,75.01,23.44,20.21,0.639,93.24,106.73,3.0,0.5,2.4,0.1,1.3,1.2,1.1
s3_min0.5_max2.4_tv0.1_dd1.3_cd1.2_cs1.3,0.357804,75.01,23.44,20.21,0.639,93.24,106.73,3.0,0.5,2.4,0.1,1.3,1.2,1.3
s3_min0.5_max2.4_tv0.1_dd1.3_cd1.2_cs1.5,0.357804,75.01,23.44,20.21,0.639,93.24,106.73,3.0,0.5,2.4,0.1,1.3,1.2,1.5
s3_min0.5_max1.6_tv0.1_dd1.3_cd1.2_cs1.1,0.357788,75.01,23.44,20.21,0.639,93.24,106.73,3.0,0.5,1.6,0.1,1.3,1.2,1.1
s3_min0.5_max1.6_tv0.1_dd1.3_cd1.2_cs1.3,0.357788,75.01,23.44,20.21,0.639,93.24,106.73,3.0,0.5,1.6,0.1,1.3,1.2,1.3
s3_min0.5_max1.6_tv0.1_dd1.3_cd1.2_cs1.5,0.357788,75.01,23.44,20.21,0.639,93.24,106.73,3.0,0.5,1.6,0.1,1.3,1.2,1.5
s3_min0.5_max2_tv0.1_dd1.3_cd1_cs1.1,0.357693,75.0,23.44,20.21,0.639,93.24,106.74,3.0,0.5,2.0,0.1,1.3,1.0,1.1
s3_min0.5_max2_tv0.1_dd1.3_cd1_cs1.3,0.357693,75.0,23.44,20.21,0.639,93.24,106.74,3.0,0.5,2.0,0.1,1.3,1.0,1.3
s3_min0.5_max2_tv0.1_dd1.3_cd1_cs1.5,0.357693,75.0,23.44,20.21,0.639,93.24,106.74,3.0,0.5,2.0,0.1,1.3,1.0,1.5
s3_min0.5_max2.4_tv0.1_dd1.3_cd1_cs1.1,0.357693,75.0,23.44,20.21,0.639,93.24,106.74,3.0,0.5,2.4,0.1,1.3,1.0,1.1
s3_min0.5_max2.4_tv0.1_dd1.3_cd1_cs1.3,0.357693,75.0,23.44,20.21,0.639,93.24,106.74,3.0,0.5,2.4,0.1,1.3,1.0,1.3
s3_min0.5_max2.4_tv0.1_dd1.3_cd1_cs1.5,0.357693,75.0,23.44,20.21,0.639,93.24,106.74,3.0,0.5,2.4,0.1,1.3,1.0,1.5
s3_min0.5_max1.6_tv0.1_dd1.3_cd1_cs1.1,0.357677,75.0,23.44,20.21,0.639,93.24,106.74,3.0,0.5,1.6,0.1,1.3,1.0,1.1
s3_min0.5_max1.6_tv0.1_dd1.3_cd1_cs1.3,0.357677,75.0,23.44,20.21,0.639,93.24,106.74,3.0,0.5,1.6,0.1,1.3,1.0,1.3
s3_min0.5_max1.6_tv0.1_dd1.3_cd1_cs1.5,0.357677,75.0,23.44,20.21,0.639,93.24,106.74,3.0,0.5,1.6,0.1,1.3,1.0,1.5
s5_min0.5_max2.4_tv0.1_dd1.3_cd1.4_cs1.1,0.357656,74.53,23.4,20.18,0.64,92.95,105.4,5.0,0.5,2.4,0.1,1.3,1.4,1.1
s5_min0.5_max2.4_tv0.1_dd1.3_cd1.4_cs1.3,0.357656,74.53,23.4,20.18,0.64,92.95,105.4,5.0,0.5,2.4,0.1,1.3,1.4,1.3
s5_min0.5_max2.4_tv0.1_dd1.3_cd1.4_cs1.5,0.357656,74.53,23.4,20.18,0.64,92.95,105.4,5.0,0.5,2.4,0.1,1.3,1.4,1.5
s5_min0.5_max2_tv0.1_dd1.3_cd1.4_cs1.1,0.357652,74.53,23.4,20.18,0.64,92.95,105.4,5.0,0.5,2.0,0.1,1.3,1.4,1.1
s5_min0.5_max2_tv0.1_dd1.3_cd1.4_cs1.3,0.357652,74.53,23.4,20.18,0.64,92.95,105.4,5.0,0.5,2.0,0.1,1.3,1.4,1.3
s5_min0.5_max2_tv0.1_dd1.3_cd1.4_cs1.5,0.357652,74.53,23.4,20.18,0.64,92.95,105.4,5.0,0.5,2.0,0.1,1.3,1.4,1.5
s3_min0.3_max2_tv0.1_dd1.3_cd1.4_cs1.1,0.357605,74.97,23.43,20.2,0.639,93.19,106.65,3.0,0.3,2.0,0.1,1.3,1.4,1.1
s3_min0.3_max2_tv0.1_dd1.3_cd1.4_cs1.3,0.357605,74.97,23.43,20.2,0.639,93.19,106.65,3.0,0.3,2.0,0.1,1.3,1.4,1.3
s3_min0.3_max2_tv0.1_dd1.3_cd1.4_cs1.5,0.357605,74.97,23.43,20.2,0.639,93.19,106.65,3.0,0.3,2.0,0.1,1.3,1.4,1.5
s3_min0.3_max2.4_tv0.1_dd1.3_cd1.4_cs1.1,0.357605,74.97,23.43,20.2,0.639,93.19,106.65,3.0,0.3,2.4,0.1,1.3,1.4,1.1
s3_min0.3_max2.4_tv0.1_dd1.3_cd1.4_cs1.3,0.357605,74.97,23.43,20.2,0.639,93.19,106.65,3.0,0.3,2.4,0.1,1.3,1.4,1.3
s3_min0.3_max2.4_tv0.1_dd1.3_cd1.4_cs1.5,0.357605,74.97,23.43,20.2,0.639,93.19,106.65,3.0,0.3,2.4,0.1,1.3,1.4,1.5
s3_min0.3_max1.6_tv0.1_dd1.3_cd1.4_cs1.1,0.357604,74.97,23.43,20.2,0.639,93.18,106.65,3.0,0.3,1.6,0.1,1.3,1.4,1.1
s3_min0.3_max1.6_tv0.1_dd1.3_cd1.4_cs1.3,0.357604,74.97,23.43,20.2,0.639,93.18,106.65,3.0,0.3,1.6,0.1,1.3,1.4,1.3
s3_min0.3_max1.6_tv0.1_dd1.3_cd1.4_cs1.5,0.357604,74.97,23.43,20.2,0.639,93.18,106.65,3.0,0.3,1.6,0.1,1.3,1.4,1.5
s3_min0.3_max2_tv0.1_dd1.3_cd1.2_cs1.1,0.357588,74.96,23.43,20.2,0.639,93.19,106.65,3.0,0.3,2.0,0.1,1.3,1.2,1.1
s3_min0.3_max2_tv0.1_dd1.3_cd1.2_cs1.3,0.357588,74.96,23.43,20.2,0.639,93.19,106.65,3.0,0.3,2.0,0.1,1.3,1.2,1.3
s3_min0.3_max2_tv0.1_dd1.3_cd1.2_cs1.5,0.357588,74.96,23.43,20.2,0.639,93.19,106.65,3.0,0.3,2.0,0.1,1.3,1.2,1.5
s3_min0.3_max2.4_tv0.1_dd1.3_cd1.2_cs1.1,0.357588,74.96,23.43,20.2,0.639,93.19,106.65,3.0,0.3,2.4,0.1,1.3,1.2,1.1
s3_min0.3_max2.4_tv0.1_dd1.3_cd1.2_cs1.3,0.357588,74.96,23.43,20.2,0.639,93.19,106.65,3.0,0.3,2.4,0.1,1.3,1.2,1.3
s3_min0.3_max2.4_tv0.1_dd1.3_cd1.2_cs1.5,0.357588,74.96,23.43,20.2,0.639,93.19,106.65,3.0,0.3,2.4,0.1,1.3,1.2,1.5
s3_min0.3_max1.6_tv0.1_dd1.3_cd1.2_cs1.1,0.357587,74.96,23.43,20.2,0.639,93.18,106.65,3.0,0.3,1.6,0.1,1.3,1.2,1.1
s3_min0.3_max1.6_tv0.1_dd1.3_cd1.2_cs1.3,0.357587,74.96,23.43,20.2,0.639,93.18,106.65,3.0,0.3,1.6,0.1,1.3,1.2,1.3
s3_min0.3_max1.6_tv0.1_dd1.3_cd1.2_cs1.5,0.357587,74.96,23.43,20.2,0.639,93.18,106.65,3.0,0.3,1.6,0.1,1.3,1.2,1.5
s5_min0.5_max1.6_tv0.1_dd1.3_cd1.4_cs1.1,0.357565,74.45,23.36,20.14,0.64,92.86,105.24,5.0,0.5,1.6,0.1,1.3,1.4,1.1
s5_min0.5_max1.6_tv0.1_dd1.3_cd1.4_cs1.3,0.357565,74.45,23.36,20.14,0.64,92.86,105.24,5.0,0.5,1.6,0.1,1.3,1.4,1.3
s5_min0.5_max1.6_tv0.1_dd1.3_cd1.4_cs1.5,0.357565,74.45,23.36,20.14,0.64,92.86,105.24,5.0,0.5,1.6,0.1,1.3,1.4,1.5
s5_min0.5_max2.4_tv0.1_dd1.3_cd1.2_cs1.1,0.357549,74.52,23.39,20.17,0.64,92.95,105.41,5.0,0.5,2.4,0.1,1.3,1.2,1.1
s5_min0.5_max2.4_tv0.1_dd1.3_cd1.2_cs1.3,0.357549,74.52,23.39,20.17,0.64,92.95,105.41,5.0,0.5,2.4,0.1,1.3,1.2,1.3
s5_min0.5_max2.4_tv0.1_dd1.3_cd1.2_cs1.5,0.357549,74.52,23.39,20.17,0.64,92.95,105.41,5.0,0.5,2.4,0.1,1.3,1.2,1.5
s5_min0.5_max2_tv0.1_dd1.3_cd1.2_cs1.1,0.357545,74.52,23.39,20.17,0.64,92.95,105.41,5.0,0.5,2.0,0.1,1.3,1.2,1.1
s5_min0.5_max2_tv0.1_dd1.3_cd1.2_cs1.3,0.357545,74.52,23.39,20.17,0.64,92.95,105.41,5.0,0.5,2.0,0.1,1.3,1.2,1.3
s5_min0.5_max2_tv0.1_dd1.3_cd1.2_cs1.5,0.357545,74.52,23.39,20.17,0.64,92.95,105.41,5.0,0.5,2.0,0.1,1.3,1.2,1.5
s4_min0.5_max2_tv0.1_dd1.3_cd1.4_cs1.1,0.357507,74.72,23.41,20.19,0.639,93.06,105.98,4.0,0.5,2.0,0.1,1.3,1.4,1.1
s4_min0.5_max2_tv0.1_dd1.3_cd1.4_cs1.3,0.357507,74.72,23.41,20.19,0.639,93.06,105.98,4.0,0.5,2.0,0.1,1.3,1.4,1.3
s4_min0.5_max2_tv0.1_dd1.3_cd1.4_cs1.5,0.357507,74.72,23.41,20.19,0.639,93.06,105.98,4.0,0.5,2.0,0.1,1.3,1.4,1.5
s4_min0.5_max2.4_tv0.1_dd1.3_cd1.4_cs1.1,0.357507,74.72,23.41,20.19,0.639,93.06,105.98,4.0,0.5,2.4,0.1,1.3,1.4,1.1
s4_min0.5_max2.4_tv0.1_dd1.3_cd1.4_cs1.3,0.357507,74.72,23.41,20.19,0.639,93.06,105.98,4.0,0.5,2.4,0.1,1.3,1.4,1.3
s4_min0.5_max2.4_tv0.1_dd1.3_cd1.4_cs1.5,0.357507,74.72,23.41,20.19,0.639,93.06,105.98,4.0,0.5,2.4,0.1,1.3,1.4,1.5
s4_min0.5_max1.6_tv0.1_dd1.3_cd1.4_cs1.1,0.357504,74.72,23.41,20.18,0.639,93.04,105.97,4.0,0.5,1.6,0.1,1.3,1.4,1.1
s4_min0.5_max1.6_tv0.1_dd1.3_cd1.4_cs1.3,0.357504,74.72,23.41,20.18,0.639,93.04,105.97,4.0,0.5,1.6,0.1,1.3,1.4,1.3
s4_min0.5_max1.6_tv0.1_dd1.3_cd1.4_cs1.5,0.357504,74.72,23.41,20.18,0.639,93.04,105.97,4.0,0.5,1.6,0.1,1.3,1.4,1.5
s5_min0.5_max1.6_tv0.1_dd1.3_cd1.2_cs1.1,0.35748,74.44,23.36,20.14,0.64,92.86,105.24,5.0,0.5,1.6,0.1,1.3,1.2,1.1
s5_min0.5_max1.6_tv0.1_dd1.3_cd1.2_cs1.3,0.35748,74.44,23.36,20.14,0.64,92.86,105.24,5.0,0.5,1.6,0.1,1.3,1.2,1.3
s5_min0.5_max1.6_tv0.1_dd1.3_cd1.2_cs1.5,0.35748,74.44,23.36,20.14,0.64,92.86,105.24,5.0,0.5,1.6,0.1,1.3,1.2,1.5
s3_min0.3_max2_tv0.1_dd1.3_cd1_cs1.1,0.357477,74.95,23.43,20.19,0.639,93.18,106.66,3.0,0.3,2.0,0.1,1.3,1.0,1.1
s3_min0.3_max2_tv0.1_dd1.3_cd1_cs1.3,0.357477,74.95,23.43,20.19,0.639,93.18,106.66,3.0,0.3,2.0,0.1,1.3,1.0,1.3
s3_min0.3_max2_tv0.1_dd1.3_cd1_cs1.5,0.357477,74.95,23.43,20.19,0.639,93.18,106.66,3.0,0.3,2.0,0.1,1.3,1.0,1.5
s3_min0.3_max2.4_tv0.1_dd1.3_cd1_cs1.1,0.357477,74.95,23.43,20.19,0.639,93.18,106.66,3.0,0.3,2.4,0.1,1.3,1.0,1.1
s3_min0.3_max2.4_tv0.1_dd1.3_cd1_cs1.3,0.357477,74.95,23.43,20.19,0.639,93.18,106.66,3.0,0.3,2.4,0.1,1.3,1.0,1.3
s3_min0.3_max2.4_tv0.1_dd1.3_cd1_cs1.5,0.357477,74.95,23.43,20.19,0.639,93.18,106.66,3.0,0.3,2.4,0.1,1.3,1.0,1.5
s3_min0.3_max1.6_tv0.1_dd1.3_cd1_cs1.1,0.357476,74.95,23.43,20.19,0.639,93.18,106.66,3.0,0.3,1.6,0.1,1.3,1.0,1.1
s3_min0.3_max1.6_tv0.1_dd1.3_cd1_cs1.3,0.357476,74.95,23.43,20.19,0.639,93.18,106.66,3.0,0.3,1.6,0.1,1.3,1.0,1.3
s3_min0.3_max1.6_tv0.1_dd1.3_cd1_cs1.5,0.357476,74.95,23.43,20.19,0.639,93.18,106.66,3.0,0.3,1.6,0.1,1.3,1.0,1.5
s5_min0.5_max2.4_tv0.1_dd1.3_cd1_cs1.1,0.357462,74.51,23.39,20.17,0.64,92.95,105.41,5.0,0.5,2.4,0.1,1.3,1.0,1.1
s5_min0.5_max2.4_tv0.1_dd1.3_cd1_cs1.3,0.357462,74.51,23.39,20.17,0.64,92.95,105.41,5.0,0.5,2.4,0.1,1.3,1.0,1.3
s5_min0.5_max2.4_tv0.1_dd1.3_cd1_cs1.5,0.357462,74.51,23.39,20.17,0.64,92.95,105.41,5.0,0.5,2.4,0.1,1.3,1.0,1.5
s5_min0.5_max2_tv0.1_dd1.3_cd1_cs1.1,0.357458,74.51,23.39,20.17,0.64,92.95,105.41,5.0,0.5,2.0,0.1,1.3,1.0,1.1
s5_min0.5_max2_tv0.1_dd1.3_cd1_cs1.3,0.357458,74.51,23.39,20.17,0.64,92.95,105.41,5.0,0.5,2.0,0.1,1.3,1.0,1.3
s5_min0.5_max2_tv0.1_dd1.3_cd1_cs1.5,0.357458,74.51,23.39,20.17,0.64,92.95,105.41,5.0,0.5,2.0,0.1,1.3,1.0,1.5
s4_min0.5_max2_tv0.1_dd1.3_cd1.2_cs1.1,0.357426,74.72,23.41,20.19,0.639,93.06,105.98,4.0,0.5,2.0,0.1,1.3,1.2,1.1
