analysis_type,validation_mode,level,universe,ticker,window,window_weeks,strategy,target_invested,actual_invested,normalized_final_value,normalized_return_pct
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,full_available,261,fixed_weekly_dca,25563.33,26100.0,42269.55,65.35
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,full_available,261,simple_dip_buy,25563.33,25563.33,42916.65,67.88
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,full_available,261,risk_adjusted_v2,25563.33,26066.06,42310.28,65.51
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,full_available,261,hybrid_70_30,25563.33,25957.28,42442.73,66.03
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,full_available,261,hybrid_80_20,25563.33,26013.55,42376.2,65.77
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,full_available,261,trend_aware_hybrid,25563.33,26100.0,42266.03,65.34
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,full_available,261,fixed_weekly_dca,25449.0,26100.0,56670.03,122.68
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,full_available,261,simple_dip_buy,25449.0,25449.0,57727.63,126.84
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,full_available,261,risk_adjusted_v2,25449.0,25816.9,56904.65,123.6
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,full_available,261,hybrid_70_30,25449.0,25918.09,56964.36,123.84
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,full_available,261,hybrid_80_20,25449.0,25985.15,56857.57,123.42
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,full_available,261,trend_aware_hybrid,25449.0,26100.0,56675.55,122.7
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,full_available,261,fixed_weekly_dca,25817.41,26100.0,26777.24,3.72
