validation_mode,level,universe,ticker,window,window_weeks,start_date,end_date,strategy,final_value,total_contributed,total_invested,cash_remaining,return_on_contributed_pct,return_on_invested_pct,cagr_on_contributed_pct,max_drawdown_pct,volatility_pct,sharpe_ratio,calmar_ratio,buy_actions,average_buy_amount
true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_000_052,52,2021-06-14,2022-06-06,fixed_weekly_dca,4598.89,5200.0,5200.0,-0.0,-11.56,-11.56,-11.56,8.43,120.68,3.766,-1.371,52,99.9
true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_000_052,52,2021-06-14,2022-06-06,simple_dip_buy,4617.55,5200.0,5077.31,122.69,-11.2,-9.06,-11.2,8.11,120.08,3.784,-1.382,52,97.54
true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_000_052,52,2021-06-14,2022-06-06,risk_adjusted_v2,4600.11,5200.0,5200.0,-0.0,-11.54,-11.54,-11.54,8.43,120.26,3.776,-1.368,52,99.9
true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_000_052,52,2021-06-14,2022-06-06,hybrid_70_30,4604.07,5200.0,5166.82,33.18,-11.46,-10.89,-11.46,8.34,120.5,3.771,-1.374,52,99.26
true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_000_052,52,2021-06-14,2022-06-06,hybrid_80_20,4602.14,5200.0,5179.6,20.4,-11.5,-11.15,-11.5,8.38,120.57,3.769,-1.373,52,99.51
true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_000_052,52,2021-06-14,2022-06-06,trend_aware_hybrid,4598.15,5200.0,5197.17,2.83,-11.57,-11.53,-11.57,8.42,120.59,3.768,-1.374,52,99.85
true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_000_052,52,2021-06-14,2022-06-06,fixed_weekly_dca,3882.78,5200.0,5200.0,-0.0,-25.33,-25.33,-25.33,8.75,123.48,3.56,-2.896,52,99.9
true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_000_052,52,2021-06-14,2022-06-06,simple_dip_buy,3907.01,5200.0,5200.0,-0.0,-24.87,-24.87,-24.87,7.81,123.17,3.571,-3.186,52,99.9
true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_000_052,52,2021-06-14,2022-06-06,risk_adjusted_v2,3893.87,5200.0,5185.28,14.71,-25.12,-24.91,-25.12,8.31,123.36,3.565,-3.024,52,99.62
true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_000_052,52,2021-06-14,2022-06-06,hybrid_70_30,3889.52,5200.0,5200.0,-0.0,-25.2,-25.2,-25.2,8.47,123.4,3.563,-2.974,52,99.9
