validation_mode,level,universe,ticker,window,window_weeks,start_date,end_date,strategy,final_value,total_contributed,total_invested,cash_remaining,return_on_contributed_pct,return_on_invested_pct,cagr_on_contributed_pct,max_drawdown_pct,volatility_pct,sharpe_ratio,calmar_ratio,buy_actions,average_buy_amount
true_weekly_contribution,ticker,all_symbols,AAPL,full_available,261,2021-06-14,2026-06-05,fixed_weekly_dca,43156.95,26100.0,26100.0,-0.0,65.35,65.35,10.54,22.14,62.27,2.202,0.476,261,99.9
true_weekly_contribution,ticker,all_symbols,AAPL,full_available,261,2021-06-14,2026-06-05,simple_dip_buy,42916.65,26100.0,25563.33,536.67,64.43,67.88,10.42,21.76,61.89,2.21,0.479,261,97.85
true_weekly_contribution,ticker,all_symbols,AAPL,full_available,261,2021-06-14,2026-06-05,risk_adjusted_v2,43142.36,26100.0,26066.06,33.94,65.3,65.51,10.53,22.13,62.1,2.207,0.476,261,99.77
true_weekly_contribution,ticker,all_symbols,AAPL,full_available,261,2021-06-14,2026-06-05,hybrid_70_30,43096.8,26100.0,25957.28,142.72,65.12,66.03,10.51,22.04,62.16,2.204,0.477,261,99.35
true_weekly_contribution,ticker,all_symbols,AAPL,full_available,261,2021-06-14,2026-06-05,hybrid_80_20,43122.53,26100.0,26013.55,86.45,65.22,65.77,10.52,22.08,62.2,2.203,0.476,261,99.57
true_weekly_contribution,ticker,all_symbols,AAPL,full_available,261,2021-06-14,2026-06-05,trend_aware_hybrid,43153.35,26100.0,26100.0,-0.0,65.34,65.34,10.54,22.14,62.23,2.203,0.476,261,99.9
true_weekly_contribution,ticker,all_symbols,ASML,full_available,261,2021-06-14,2026-06-05,fixed_weekly_dca,58119.68,26100.0,26100.0,-0.0,122.68,122.68,17.29,33.62,68.88,2.142,0.514,261,99.9
true_weekly_contribution,ticker,all_symbols,ASML,full_available,261,2021-06-14,2026-06-05,simple_dip_buy,57727.63,26100.0,25449.0,651.0,121.18,126.84,17.13,33.02,68.53,2.147,0.519,261,97.41
true_weekly_contribution,ticker,all_symbols,ASML,full_available,261,2021-06-14,2026-06-05,risk_adjusted_v2,57727.28,26100.0,25816.9,283.1,121.18,123.6,17.13,32.99,68.49,2.148,0.519,261,98.82
true_weekly_contribution,ticker,all_symbols,ASML,full_available,261,2021-06-14,2026-06-05,hybrid_70_30,58014.36,26100.0,25918.09,181.91,122.28,123.84,17.25,33.45,68.78,2.143,0.516,261,99.2
true_weekly_contribution,ticker,all_symbols,ASML,full_available,261,2021-06-14,2026-06-05,hybrid_80_20,58055.42,26100.0,25985.15,114.85,122.43,123.42,17.27,33.51,68.82,2.143,0.515,261,99.46
true_weekly_contribution,ticker,all_symbols,ASML,full_available,261,2021-06-14,2026-06-05,trend_aware_hybrid,58125.34,26100.0,26100.0,-0.0,122.7,122.7,17.29,33.61,68.85,2.142,0.515,261,99.9
true_weekly_contribution,ticker,all_symbols,BYDDY,full_available,261,2021-06-14,2026-06-05,fixed_weekly_dca,27070.34,26100.0,26100.0,-0.0,3.72,3.72,0.73,33.58,69.53,1.909,0.022,261,99.9
true_weekly_contribution,ticker,all_symbols,BYDDY,full_available,261,2021-06-14,2026-06-05,simple_dip_buy,27233.01,26100.0,25817.41,282.59,4.34,5.48,0.85,33.17,69.21,1.916,0.026,261,98.82
true_weekly_contribution,ticker,all_symbols,BYDDY,full_available,261,2021-06-14,2026-06-05,risk_adjusted_v2,27075.16,26100.0,26026.01,73.99,3.74,4.03,0.73,33.35,69.31,1.912,0.022,261,99.62
