date,strategy,ticker,price,weekly_return,buy_multiplier,desired_amount,submitted_amount,submitted_size,cash_before_order
2021-06-14,fixed_weekly_dca,BYDDY,9.925,0.07588076,1.0,100.0,100.0,10.07556675,10000.0
2021-06-21,fixed_weekly_dca,BYDDY,9.778333,-0.01477753,1.0,100.0,100.0,10.22669201,9901.379231
2021-06-28,fixed_weekly_dca,BYDDY,9.498333,-0.02863474,1.0,100.0,100.0,10.52816321,9804.145568
2021-07-05,fixed_weekly_dca,BYDDY,9.391667,-0.01122997,1.0,100.0,100.0,10.64773698,9705.169688
2021-07-12,fixed_weekly_dca,BYDDY,8.978333,-0.04401072,1.0,100.0,100.0,11.13792505,9609.475161
2021-07-19,fixed_weekly_dca,BYDDY,9.585,0.06757012,1.0,100.0,100.0,10.43296818,9509.325111
2021-07-26,fixed_weekly_dca,BYDDY,10.286667,0.07320469,1.0,100.0,100.0,9.72132178,9409.175061
2021-08-02,fixed_weekly_dca,BYDDY,11.62,0.12961759,1.0,100.0,100.0,8.60585198,9309.025011
2021-08-09,fixed_weekly_dca,BYDDY,11.675,0.00473322,1.0,100.0,100.0,8.56531049,9208.874961
2021-08-16,fixed_weekly_dca,BYDDY,10.893333,-0.06695221,1.0,100.0,100.0,9.17992684,9115.476877
2021-08-23,fixed_weekly_dca,BYDDY,10.943333,0.00458996,1.0,100.0,100.0,9.13798383,9015.326827
2021-08-30,fixed_weekly_dca,BYDDY,10.933333,-0.0009138,1.0,100.0,100.0,9.14634174,8915.318298
2021-09-06,fixed_weekly_dca,BYDDY,11.038333,0.00960366,1.0,100.0,100.0,9.05933894,8815.168248
2021-09-13,fixed_weekly_dca,BYDDY,10.921667,-0.01056917,1.0,100.0,100.0,9.15611143,8716.126222
2021-09-20,fixed_weekly_dca,BYDDY,10.283333,-0.05844657,1.0,100.0,100.0,9.72447357,8621.876724
2021-09-27,fixed_weekly_dca,BYDDY,10.295,0.00113455,1.0,100.0,100.0,9.71345313,8521.726674
2021-10-04,fixed_weekly_dca,BYDDY,10.598333,0.02946411,1.0,100.0,100.0,9.43544612,8421.576624
2021-10-11,fixed_weekly_dca,BYDDY,11.77,0.11055201,1.0,100.0,100.0,8.49617672,8321.426574
2021-10-18,fixed_weekly_dca,BYDDY,12.693333,0.078448,1.0,100.0,100.0,7.87815147,8221.276524
2021-10-25,fixed_weekly_dca,BYDDY,12.073333,-0.04884454,1.0,100.0,100.0,8.28271696,8126.065862
2021-11-01,fixed_weekly_dca,BYDDY,13.158333,0.08986748,1.0,100.0,100.0,7.59974687,8025.915812
2021-11-08,fixed_weekly_dca,BYDDY,12.858333,-0.02279924,1.0,100.0,100.0,7.77705788,7928.098016
2021-11-15,fixed_weekly_dca,BYDDY,12.84,-0.00142577,1.0,100.0,100.0,7.78816199,7828.140735
2021-11-22,fixed_weekly_dca,BYDDY,12.856667,0.00129805,1.0,100.0,100.0,7.77806565,7727.990685
2021-11-29,fixed_weekly_dca,BYDDY,12.38,-0.03707547,1.0,100.0,100.0,8.07754443,7631.60194
2021-12-06,fixed_weekly_dca,BYDDY,12.445,0.0052504,1.0,100.0,100.0,8.03535556,7531.45189
2021-12-13,fixed_weekly_dca,BYDDY,11.3,-0.09200482,1.0,100.0,100.0,8.84955752,7440.561573
2021-12-20,fixed_weekly_dca,BYDDY,11.515,0.01902655,1.0,100.0,100.0,8.68432479,7340.411523
2021-12-27,fixed_weekly_dca,BYDDY,11.25,-0.02301346,1.0,100.0,100.0,8.88888889,7242.61517
2022-01-03,fixed_weekly_dca,BYDDY,10.515,-0.06533333,1.0,100.0,100.0,9.51022349,7149.055037
2022-01-10,fixed_weekly_dca,BYDDY,11.328333,0.07734979,1.0,100.0,100.0,8.82742412,7048.904987
2022-01-17,fixed_weekly_dca,BYDDY,10.878333,-0.03972341,1.0,100.0,100.0,9.19258493,6952.7813
2022-01-24,fixed_weekly_dca,BYDDY,9.375,-0.13819516,1.0,100.0,100.0,10.66666667,6866.514636
2022-01-31,fixed_weekly_dca,BYDDY,10.25,0.09333333,1.0,100.0,100.0,9.75609756,6766.364586
2022-02-07,fixed_weekly_dca,BYDDY,9.73,-0.05073171,1.0,100.0,100.0,10.27749229,6671.34283
2022-02-14,fixed_weekly_dca,BYDDY,10.33,0.06166495,1.0,100.0,100.0,9.68054211,6571.19278
