task,target,model,importance_type,feature,value
regression,forward_1w_return,ridge,coefficient,numeric__weekly_return,-0.0016747288
regression,forward_1w_return,ridge,coefficient,numeric__momentum_4w,0.002573967
regression,forward_1w_return,ridge,coefficient,numeric__momentum_12w,-0.0041522447
regression,forward_1w_return,ridge,coefficient,numeric__volatility_12w,-0.0002765273
regression,forward_1w_return,ridge,coefficient,numeric__drawdown_from_52w_high,0.001475868
regression,forward_1w_return,ridge,coefficient,numeric__sma_10_distance,-0.0057680729
regression,forward_1w_return,ridge,coefficient,numeric__sma_20_distance,0.0092665921
regression,forward_1w_return,ridge,coefficient,numeric__rsi_14,-0.0014657486
regression,forward_1w_return,ridge,coefficient,numeric__macd,-0.001265943
regression,forward_1w_return,ridge,coefficient,categorical__ticker_AAPL,-0.0011627587
regression,forward_1w_return,ridge,coefficient,categorical__ticker_ASML,-0.0030348214
regression,forward_1w_return,ridge,coefficient,categorical__ticker_BYDDY,-0.0001881946
regression,forward_1w_return,ridge,coefficient,categorical__ticker_KO,-0.0028683309
regression,forward_1w_return,ridge,coefficient,categorical__ticker_MSFT,-0.0003424468
regression,forward_1w_return,ridge,coefficient,categorical__ticker_NVDA,0.0075965524
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__weekly_return,0.284236411
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__momentum_4w,0.0948322203
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__momentum_12w,0.0726233012
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__volatility_12w,0.0942232257
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__drawdown_from_52w_high,0.0814460399
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__sma_10_distance,0.0455717687
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__sma_20_distance,0.1269022839
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__rsi_14,0.1364921148
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__macd,0.0452969788
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_AAPL,0.0
