task,target,model,importance_type,feature,value
regression,forward_1w_return,ridge,coefficient,numeric__weekly_return,-0.0020942975
regression,forward_1w_return,ridge,coefficient,numeric__momentum_4w,0.0021833637
regression,forward_1w_return,ridge,coefficient,numeric__momentum_12w,0.0006513246
regression,forward_1w_return,ridge,coefficient,numeric__volatility_12w,0.0013484827
regression,forward_1w_return,ridge,coefficient,numeric__drawdown_from_52w_high,0.0011623695
regression,forward_1w_return,ridge,coefficient,numeric__sma_10_distance,-0.0038877671
regression,forward_1w_return,ridge,coefficient,numeric__sma_20_distance,0.0007728097
regression,forward_1w_return,ridge,coefficient,numeric__rsi_14,0.0012916723
regression,forward_1w_return,ridge,coefficient,numeric__macd,-0.0004788402
regression,forward_1w_return,ridge,coefficient,categorical__ticker_AAPL,0.0009449804
regression,forward_1w_return,ridge,coefficient,categorical__ticker_AMD,0.0054188795
regression,forward_1w_return,ridge,coefficient,categorical__ticker_AMZN,0.0019163704
regression,forward_1w_return,ridge,coefficient,categorical__ticker_ASML,0.002081202
regression,forward_1w_return,ridge,coefficient,categorical__ticker_AVGO,0.0024370491
regression,forward_1w_return,ridge,coefficient,categorical__ticker_AXP,-0.0009005539
regression,forward_1w_return,ridge,coefficient,categorical__ticker_BABA,-0.004805626
regression,forward_1w_return,ridge,coefficient,categorical__ticker_BAC,-0.0018271445
regression,forward_1w_return,ridge,coefficient,categorical__ticker_BYDDY,-0.0002456393
regression,forward_1w_return,ridge,coefficient,categorical__ticker_CAT,-0.0001318079
regression,forward_1w_return,ridge,coefficient,categorical__ticker_COST,0.0013427875
regression,forward_1w_return,ridge,coefficient,categorical__ticker_DE,0.0003262282
regression,forward_1w_return,ridge,coefficient,categorical__ticker_GE,-0.0033846201
regression,forward_1w_return,ridge,coefficient,categorical__ticker_GOOGL,0.0006476754
regression,forward_1w_return,ridge,coefficient,categorical__ticker_HD,0.00029879
regression,forward_1w_return,ridge,coefficient,categorical__ticker_HON,-0.0007651353
regression,forward_1w_return,ridge,coefficient,categorical__ticker_INTC,-0.002911131
regression,forward_1w_return,ridge,coefficient,categorical__ticker_JNJ,-0.0010356949
regression,forward_1w_return,ridge,coefficient,categorical__ticker_JPM,-0.0003708429
regression,forward_1w_return,ridge,coefficient,categorical__ticker_KO,-0.0012661668
regression,forward_1w_return,ridge,coefficient,categorical__ticker_MA,0.0012869038
regression,forward_1w_return,ridge,coefficient,categorical__ticker_MCD,0.000296445
regression,forward_1w_return,ridge,coefficient,categorical__ticker_META,0.0008863881
regression,forward_1w_return,ridge,coefficient,categorical__ticker_MRK,-0.0005482897
regression,forward_1w_return,ridge,coefficient,categorical__ticker_MSFT,0.0020567302
regression,forward_1w_return,ridge,coefficient,categorical__ticker_MU,-0.0020252471
regression,forward_1w_return,ridge,coefficient,categorical__ticker_NKE,-0.0013779103
regression,forward_1w_return,ridge,coefficient,categorical__ticker_NVDA,0.0069573013
regression,forward_1w_return,ridge,coefficient,categorical__ticker_PEP,-0.0007203286
regression,forward_1w_return,ridge,coefficient,categorical__ticker_PG,-0.000772465
regression,forward_1w_return,ridge,coefficient,categorical__ticker_QCOM,-0.0016347205
regression,forward_1w_return,ridge,coefficient,categorical__ticker_SBUX,-0.0011743034
regression,forward_1w_return,ridge,coefficient,categorical__ticker_TCEHY,-0.0018617258
regression,forward_1w_return,ridge,coefficient,categorical__ticker_TM,-0.0010924615
regression,forward_1w_return,ridge,coefficient,categorical__ticker_TSM,0.0009162711
regression,forward_1w_return,ridge,coefficient,categorical__ticker_UNH,0.0011412379
regression,forward_1w_return,ridge,coefficient,categorical__ticker_V,0.0007293089
regression,forward_1w_return,ridge,coefficient,categorical__ticker_WMT,-0.0008327344
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__weekly_return,0.151961893
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__momentum_4w,0.2258659629
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__momentum_12w,0.1169734485
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__volatility_12w,0.0527872152
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__drawdown_from_52w_high,0.0387802
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__sma_10_distance,0.2219463169
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__sma_20_distance,0.0984367896
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__rsi_14,0.0221578583
regression,forward_1w_return,random_forest_regressor,feature_importance,numeric__macd,0.0514768638
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_AAPL,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_AMD,0.0062227934
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_AMZN,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_ASML,0.0
