group,factor,horizon,ic_periods,sample_count,average_group_n,mean_coverage,mean_rank_ic,median_rank_ic,positive_rank_ic_rate,mean_pearson_corr,overall_mean_rank_ic,direction_vs_overall
Bear,drawdown_from_52w_high,12w,40,1520,38.0,1.0,0.23241867,0.20177262,0.65,0.27070799,0.00235606,same_direction_stronger
Correction,drawdown_from_52w_high,12w,112,4256,38.0,1.0,0.04230496,0.02932488,0.55357143,0.06705148,0.00235606,same_direction_stronger
Bull,drawdown_from_52w_high,12w,415,15770,38.0,1.0,-0.02210441,-0.03070824,0.44096386,-0.02734524,0.00235606,reversed
Neutral,drawdown_from_52w_high,12w,18,684,38.0,1.0,-0.13782879,-0.11913794,0.16666667,-0.1476466,0.00235606,reversed
Bear,drawdown_from_52w_high,1w,40,1520,38.0,1.0,0.09313404,0.15695709,0.6,0.09695755,-0.00436006,reversed
Neutral,drawdown_from_52w_high,1w,18,684,38.0,1.0,0.04960271,0.04754354,0.61111111,0.00492993,-0.00436006,reversed
Bull,drawdown_from_52w_high,1w,424,16112,38.0,1.0,-0.01252937,-0.00596702,0.48584906,-0.00410101,-0.00436006,same_direction_stronger
Correction,drawdown_from_52w_high,1w,114,4332,38.0,1.0,-0.01396916,-0.0337579,0.47368421,-0.00468617,-0.00436006,same_direction_stronger
Bear,drawdown_from_52w_high,4w,40,1520,38.0,1.0,0.14160037,0.18503118,0.6,0.15910499,-0.01372722,reversed
Correction,drawdown_from_52w_high,4w,114,4332,38.0,1.0,0.01475133,0.03682117,0.52631579,0.04316888,-0.01372722,reversed
Neutral,drawdown_from_52w_high,4w,18,684,38.0,1.0,-0.01684026,0.04278716,0.55555556,-0.00714701,-0.01372722,same_direction_stronger
Bull,drawdown_from_52w_high,4w,421,15998,38.0,1.0,-0.03372093,-0.04410638,0.44418052,-0.0223492,-0.01372722,same_direction_stronger
Bull,macd,12w,409,15542,38.0,1.0,-0.00153189,0.01258343,0.51833741,0.01398526,-0.01401268,same_direction_weaker
Correction,macd,12w,112,4256,38.0,1.0,-0.00176051,0.04256483,0.57142857,0.00623737,-0.01401268,same_direction_weaker
Bear,macd,12w,40,1520,38.0,1.0,-0.19628515,-0.16511654,0.25,-0.20458689,-0.01401268,same_direction_stronger
Correction,macd,1w,114,4332,38.0,1.0,0.03242322,0.05131852,0.59649123,0.01959564,0.00614103,same_direction_stronger
Bull,macd,1w,418,15884,38.0,1.0,0.00820345,0.0212277,0.53827751,0.00590149,0.00614103,same_direction_stronger
Bear,macd,1w,40,1520,38.0,1.0,-0.08016194,-0.08359777,0.325,-0.0865599,0.00614103,reversed
Bull,macd,4w,415,15770,38.0,1.0,0.00976538,0.02899661,0.54216867,0.01279141,-0.00379745,reversed
Correction,macd,4w,114,4332,38.0,1.0,-0.02375015,-0.03096619,0.46491228,-0.02582621,-0.00379745,same_direction_stronger
Bear,macd,4w,40,1520,38.0,1.0,-0.10774155,-0.13896488,0.425,-0.11113863,-0.00379745,same_direction_stronger
Neutral,momentum_12w,12w,7,266,38.0,1.0,0.1767777,0.15286136,1.0,0.07789403,0.04121375,same_direction_stronger
Bull,momentum_12w,12w,415,15770,38.0,1.0,0.07036946,0.08720867,0.62409639,0.11145703,0.04121375,same_direction_stronger
Correction,momentum_12w,12w,112,4256,38.0,1.0,0.00186993,-0.00382974,0.48214286,0.03243907,0.04121375,same_direction_weaker
Bear,momentum_12w,12w,40,1520,38.0,1.0,-0.19880731,-0.19148704,0.2,-0.25106085,0.04121375,reversed
Bull,momentum_12w,1w,424,16112,38.0,1.0,0.01847984,0.02735529,0.54245283,0.02992186,0.01113164,same_direction_stronger
Correction,momentum_12w,1w,114,4332,38.0,1.0,0.0161713,0.01717912,0.52631579,0.02485229,0.01113164,same_direction_stronger
Bear,momentum_12w,1w,40,1520,38.0,1.0,-0.06896269,0.03534304,0.575,-0.09826698,0.01113164,reversed
Neutral,momentum_12w,1w,7,266,38.0,1.0,-0.08533288,-0.0222125,0.42857143,-0.02239926,0.01113164,reversed
Bull,momentum_12w,4w,421,15998,38.0,1.0,0.0516258,0.05241274,0.60332542,0.06277808,0.03094672,same_direction_stronger
Correction,momentum_12w,4w,114,4332,38.0,1.0,-0.0065192,-0.01619433,0.49122807,-0.00498217,0.03094672,reversed
Neutral,momentum_12w,4w,7,266,38.0,1.0,-0.01086396,-0.03862567,0.42857143,0.15486636,0.03094672,reversed
Bear,momentum_12w,4w,40,1520,38.0,1.0,-0.09683226,-0.10274647,0.375,-0.12311136,0.03094672,reversed
Neutral,rsi_14,12w,6,228,38.0,1.0,0.19115877,0.17780939,1.0,0.24089588,0.0332395,same_direction_stronger
Bull,rsi_14,12w,415,15770,38.0,1.0,0.06094207,0.07298392,0.62650602,0.08619522,0.0332395,same_direction_stronger
Correction,rsi_14,12w,112,4256,38.0,1.0,0.00882404,0.02286902,0.52678571,0.02937608,0.0332395,same_direction_weaker
Bear,rsi_14,12w,40,1520,38.0,1.0,-0.22866834,-0.22464164,0.275,-0.24666646,0.0332395,reversed
Correction,rsi_14,1w,114,4332,38.0,1.0,0.02273273,0.04519094,0.54385965,0.02653668,0.01258284,same_direction_stronger
Bull,rsi_14,1w,424,16112,38.0,1.0,0.0206935,0.0263705,0.54245283,0.02056297,0.01258284,same_direction_stronger
Bear,rsi_14,1w,40,1520,38.0,1.0,-0.08557829,-0.06455848,0.45,-0.1042586,0.01258284,reversed
Neutral,rsi_14,1w,6,228,38.0,1.0,-0.13024766,-0.10570084,0.33333333,-0.10658938,0.01258284,reversed
Bull,rsi_14,4w,421,15998,38.0,1.0,0.05181135,0.06444906,0.59382423,0.0536283,0.02799609,same_direction_stronger
Correction,rsi_14,4w,114,4332,38.0,1.0,-0.00340933,-0.00186016,0.5,0.00250696,0.02799609,reversed
Neutral,rsi_14,4w,6,228,38.0,1.0,-0.08221177,-0.10613853,0.33333333,-0.02426385,0.02799609,reversed
Bear,rsi_14,4w,40,1520,38.0,1.0,-0.13592297,-0.15286136,0.325,-0.14506918,0.02799609,reversed
Neutral,sma_10_distance,12w,10,380,38.0,1.0,0.10095196,0.1282416,0.9,0.20931067,0.03579331,same_direction_stronger
Bull,sma_10_distance,12w,415,15770,38.0,1.0,0.06593512,0.07998687,0.64819277,0.08402119,0.03579331,same_direction_stronger
Correction,sma_10_distance,12w,112,4256,38.0,1.0,-0.02210503,-0.0299814,0.46428571,0.00151518,0.03579331,reversed
Bear,sma_10_distance,12w,40,1520,38.0,1.0,-0.14520735,-0.111719,0.35,-0.2209071,0.03579331,reversed
Bull,sma_10_distance,1w,424,16112,38.0,1.0,0.00948248,0.00820658,0.51179245,0.01368441,0.00063048,same_direction_stronger
Correction,sma_10_distance,1w,114,4332,38.0,1.0,0.00875177,0.04956779,0.57017544,0.02154999,0.00063048,same_direction_stronger
Bear,sma_10_distance,1w,40,1520,38.0,1.0,-0.09420615,-0.02418208,0.475,-0.11176993,0.00063048,reversed
Neutral,sma_10_distance,1w,10,380,38.0,1.0,-0.10786738,-0.12856987,0.1,-0.03243628,0.00063048,reversed
Bull,sma_10_distance,4w,421,15998,38.0,1.0,0.04368274,0.05109968,0.57244656,0.04261428,0.02142141,same_direction_stronger
Correction,sma_10_distance,4w,114,4332,38.0,1.0,-0.01513083,-0.05613306,0.44736842,-0.00760575,0.02142141,reversed
Neutral,sma_10_distance,4w,10,380,38.0,1.0,-0.04125178,-0.03151329,0.4,0.11652207,0.02142141,reversed
Bear,sma_10_distance,4w,40,1520,38.0,1.0,-0.11250137,-0.14815625,0.375,-0.13012904,0.02142141,reversed
Bull,sma_20_distance,12w,415,15770,38.0,1.0,0.08192246,0.0961812,0.66024096,0.1168365,0.04280623,same_direction_stronger
Correction,sma_20_distance,12w,112,4256,38.0,1.0,-0.01974075,-0.02976256,0.45535714,0.01674956,0.04280623,reversed
Bear,sma_20_distance,12w,40,1520,38.0,1.0,-0.21182296,-0.17540212,0.25,-0.27937334,0.04280623,reversed
Bull,sma_20_distance,1w,424,16112,38.0,1.0,0.02201017,0.02254076,0.54245283,0.0314843,0.01160125,same_direction_stronger
Correction,sma_20_distance,1w,114,4332,38.0,1.0,0.00902629,0.01422475,0.50877193,0.01527028,0.01160125,same_direction_weaker
Bear,sma_20_distance,1w,40,1520,38.0,1.0,-0.09610461,-0.09103841,0.475,-0.11966305,0.01160125,reversed
Bull,sma_20_distance,4w,421,15998,38.0,1.0,0.06106717,0.08042455,0.6128266,0.07058228,0.03343958,same_direction_stronger
Correction,sma_20_distance,4w,114,4332,38.0,1.0,-0.02066908,-0.04048583,0.45614035,-0.01258605,0.03343958,reversed
Bear,sma_20_distance,4w,40,1520,38.0,1.0,-0.12729511,-0.17638691,0.325,-0.157043,0.03343958,reversed
Bear,volatility_12w,12w,40,1520,38.0,1.0,0.23239961,0.22004596,0.675,0.24239336,0.07685093,same_direction_stronger
Correction,volatility_12w,12w,112,4256,38.0,1.0,0.09136276,0.19903709,0.66071429,0.18095673,0.07685093,same_direction_stronger
Bull,volatility_12w,12w,415,15770,38.0,1.0,0.062899,0.07801729,0.62409639,0.10755315,0.07685093,same_direction_weaker
Neutral,volatility_12w,12w,7,266,38.0,1.0,-0.09177309,-0.16708611,0.28571429,-0.22705409,0.07685093,reversed
Bear,volatility_12w,1w,40,1520,38.0,1.0,0.08863114,0.14388883,0.6,0.08832877,0.02025274,same_direction_stronger
Neutral,volatility_12w,1w,7,266,38.0,1.0,0.02924671,0.06160411,0.57142857,0.02798851,0.02025274,same_direction_stronger
Bull,volatility_12w,1w,424,16112,38.0,1.0,0.01773707,0.04519094,0.56132075,0.04281369,0.02025274,same_direction_weaker
Correction,volatility_12w,1w,114,4332,38.0,1.0,0.00173346,-0.00579932,0.49122807,0.01766545,0.02025274,same_direction_weaker
Neutral,volatility_12w,4w,7,266,38.0,1.0,0.15536242,0.14191925,0.85714286,0.1936704,0.04424703,same_direction_stronger
Bear,volatility_12w,4w,40,1520,38.0,1.0,0.15372579,0.16894627,0.65,0.16855374,0.04424703,same_direction_stronger
Bull,volatility_12w,4w,421,15998,38.0,1.0,0.0354272,0.04409673,0.55344418,0.07450424,0.04424703,same_direction_weaker
Correction,volatility_12w,4w,114,4332,38.0,1.0,0.03197018,0.0848014,0.54385965,0.06503506,0.04424703,same_direction_weaker
Bull,weekly_return,12w,415,15770,38.0,1.0,0.01547745,0.01433417,0.5253012,0.02726434,0.00448542,same_direction_stronger
Neutral,weekly_return,12w,18,684,38.0,1.0,0.00164132,-0.01017617,0.44444444,0.05815466,0.00448542,same_direction_weaker
Correction,weekly_return,12w,112,4256,38.0,1.0,-0.00074055,-0.00426742,0.48214286,-0.00101616,0.00448542,reversed
Bear,weekly_return,12w,40,1520,38.0,1.0,-0.08353212,-0.08863114,0.425,-0.09331715,0.00448542,reversed
Bull,weekly_return,1w,424,16112,38.0,1.0,-0.01202704,-0.00536164,0.48584906,-0.00752555,-0.02003089,same_direction_weaker
Correction,weekly_return,1w,114,4332,38.0,1.0,-0.01849218,-0.02352555,0.43859649,-0.00510411,-0.02003089,same_direction_weaker
Bear,weekly_return,1w,40,1520,38.0,1.0,-0.07825254,-0.05854032,0.425,-0.08428305,-0.02003089,same_direction_stronger
Neutral,weekly_return,1w,18,684,38.0,1.0,-0.10115379,-0.08206587,0.22222222,-0.04474409,-0.02003089,same_direction_stronger
