group,factor,horizon,ic_periods,sample_count,average_group_n,mean_coverage,mean_rank_ic,median_rank_ic,positive_rank_ic_rate,mean_pearson_corr,overall_mean_rank_ic,direction_vs_overall
defensive_healthcare,drawdown_from_52w_high,12w,585,3510,6.0,1.0,0.04932869,0.08571429,0.55726496,0.06699952,0.00235606,same_direction_stronger
core_technology,drawdown_from_52w_high,12w,581,3486,6.0,1.0,0.02856022,0.03380617,0.53700516,0.06928993,0.00235606,same_direction_stronger
semiconductors,drawdown_from_52w_high,12w,584,4088,7.0,1.0,0.00104267,0.03571429,0.50342466,-0.00067769,0.00235606,same_direction_weaker
financial_payments,drawdown_from_52w_high,12w,578,2890,5.0,1.0,-0.00021383,0.0,0.47404844,-0.0014866,0.00235606,reversed
consumer_retail,drawdown_from_52w_high,12w,585,3510,6.0,1.0,-0.0321341,-0.08571429,0.46324786,-0.0379626,0.00235606,reversed
international,drawdown_from_52w_high,12w,585,2340,4.0,1.0,-0.04046335,0.0,0.47863248,-0.02562558,0.00235606,reversed
industrial_diversified,drawdown_from_52w_high,12w,584,2336,4.0,1.0,-0.05162471,-0.10540926,0.44863014,-0.0484374,0.00235606,reversed
defensive_healthcare,drawdown_from_52w_high,1w,596,3576,6.0,1.0,0.02710246,0.02857143,0.53020134,0.04939078,-0.00436006,reversed
core_technology,drawdown_from_52w_high,1w,592,3552,6.0,1.0,0.0120202,0.02857143,0.50844595,0.02443745,-0.00436006,reversed
industrial_diversified,drawdown_from_52w_high,1w,595,2380,4.0,1.0,0.00925331,0.0,0.48739496,-0.01140265,-0.00436006,reversed
semiconductors,drawdown_from_52w_high,1w,594,4158,7.0,1.0,-0.00109348,0.0,0.49158249,0.01575227,-0.00436006,same_direction_weaker
consumer_retail,drawdown_from_52w_high,1w,596,3576,6.0,1.0,-0.02277449,-0.0718457,0.45973154,-0.01673651,-0.00436006,same_direction_stronger
financial_payments,drawdown_from_52w_high,1w,589,2945,5.0,1.0,-0.028868,-0.1,0.44821732,-0.01871847,-0.00436006,same_direction_stronger
