date,breakdown_type,group,factor,horizon,n,total_rows,coverage,rank_ic,pearson_corr
2015-03-27,category,consumer_retail,volatility_12w,1w,6,6,1.0,-0.48571429,-0.54576571
2015-03-27,category,core_technology,volatility_12w,1w,6,6,1.0,0.42857143,0.16024412
2015-03-27,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.2,-0.12462079
2015-03-27,category,financial_payments,volatility_12w,1w,5,5,1.0,0.7,0.89155162
2015-03-27,category,industrial_diversified,volatility_12w,1w,4,4,1.0,0.4,0.52379691
2015-03-27,category,international,volatility_12w,1w,4,4,1.0,0.8,0.78174158
2015-03-27,category,semiconductors,volatility_12w,1w,7,7,1.0,0.14285714,0.28497086
2015-04-02,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.71428571,0.58589139
2015-04-02,category,core_technology,volatility_12w,1w,6,6,1.0,0.94285714,0.7728692
2015-04-02,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.02857143,-0.3083805
2015-04-02,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.5,-0.59585789
2015-04-02,category,industrial_diversified,volatility_12w,1w,4,4,1.0,0.0,-0.41541995
2015-04-02,category,international,volatility_12w,1w,4,4,1.0,0.4,0.43455008
2015-04-02,category,semiconductors,volatility_12w,1w,7,7,1.0,0.5,0.50397573
2015-04-10,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.71428571,0.94609964
2015-04-10,category,core_technology,volatility_12w,1w,6,6,1.0,0.25714286,0.36257006
2015-04-10,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.48571429,0.36396786
2015-04-10,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.1,-0.03363995
2015-04-10,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.4,-0.54403585
2015-04-10,category,international,volatility_12w,1w,4,4,1.0,-0.8,-0.8875613
2015-04-10,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.21428571,-0.2523524
2015-04-17,category,consumer_retail,volatility_12w,1w,6,6,1.0,-0.25714286,-0.15954746
2015-04-17,category,core_technology,volatility_12w,1w,6,6,1.0,-0.14285714,0.18227881
2015-04-17,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.25714286,-0.40142993
2015-04-17,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.6,-0.67336294
2015-04-17,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.4,-0.88981811
2015-04-17,category,international,volatility_12w,1w,4,4,1.0,0.8,0.91528086
2015-04-17,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.82142857,-0.85904403
2015-04-24,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.02857143,-0.1598817
2015-04-24,category,core_technology,volatility_12w,1w,6,6,1.0,-0.14285714,0.25487783
2015-04-24,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.08571429,0.44931054
2015-04-24,category,financial_payments,volatility_12w,1w,5,5,1.0,0.0,0.15489671
2015-04-24,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.8,-0.20090616
2015-04-24,category,international,volatility_12w,1w,4,4,1.0,-0.2,0.07431161
2015-04-24,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.03571429,-0.28031034
2015-05-01,category,consumer_retail,volatility_12w,1w,6,6,1.0,-0.08571429,-0.33282411
2015-05-01,category,core_technology,volatility_12w,1w,6,6,1.0,0.14285714,-0.00211044
2015-05-01,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.08571429,0.08031491
2015-05-01,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.5,-0.42425096
2015-05-01,category,industrial_diversified,volatility_12w,1w,4,4,1.0,1.0,0.64821458
2015-05-01,category,international,volatility_12w,1w,4,4,1.0,-0.6,-0.45450734
